,,,,,Crimes,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE/UT,District,Year,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
ODISHA,KANDHAMAL,2002,19,13,2,32,0,32,32,29,3,2,0,13,58,86,2,84,17,10,6,0,5,374,2,72,9,48,0,24,124,948
ODISHA,KENDRAPARA,2002,19,52,0,9,0,9,17,14,3,9,0,7,42,70,8,62,31,1,10,0,8,32,24,13,1,18,0,5,561,929
ODISHA,KEONJHAR,2002,74,38,4,42,0,42,23,23,0,7,0,38,106,150,10,140,96,5,22,0,29,118,4,157,19,25,0,197,893,2047
ODISHA,KHURDA,2002,63,92,0,52,0,52,53,44,9,21,9,145,489,907,367,540,104,29,157,2,25,1257,19,36,15,187,0,171,1403,5236
ODISHA,KORAPUT,2002,47,34,1,30,0,30,9,8,1,11,0,12,123,147,26,121,76,5,17,1,7,35,3,53,4,41,0,52,744,1452
ODISHA,MALKANGIR,2002,36,23,3,15,0,15,6,6,0,20,0,3,22,48,8,40,16,8,1,1,2,44,3,17,1,8,0,9,173,459
ODISHA,MAYURBHANJ,2002,83,40,2,68,0,68,29,24,5,7,0,34,113,158,15,143,42,10,29,0,17,20,26,125,0,106,0,109,1007,2025
ODISHA,NAYAGARH,2002,28,61,0,9,0,9,14,11,3,2,3,19,51,72,3,69,36,2,9,0,12,47,8,2,1,11,0,31,447,865
ODISHA,NOWRANGPUR,2002,25,16,3,17,0,17,18,16,2,10,0,16,70,82,10,72,39,4,15,1,11,53,0,34,3,11,0,0,336,764
ODISHA,NUAPADA,2002,15,9,0,5,0,5,9,5,4,2,0,7,17,45,1,44,27,7,2,0,3,27,2,26,5,17,0,20,246,491
ODISHA,PURI,2002,47,139,2,41,0,41,31,28,3,9,4,53,140,195,36,159,31,5,26,0,21,75,23,15,2,16,0,88,1598,2561
